Date;Time;State;Power;Temp
2022-03-16;11:07:20;ON;114.22;42
2022-03-16;11:08:20;ON;114.22;42
2022-03-16;11:09:20;ON;114.22;42
2022-03-16;11:10:20;ON;114.22;42
2022-03-16;11:11:20;ON;114.22;42
2022-03-16;11:12:20;ON;114.22;42
2022-03-16;11:13:20;ON;114.22;42
2022-03-16;11:14:20;ON;114.22;42
2022-03-16;11:15:20;ON;114.22;42
2022-03-16;11:16:20;ON;114.22;42
2022-03-16;11:17:20;ON;114.22;42
2022-03-16;11:18:20;ON;114.22;42
2022-03-16;11:19:20;ON;114.22;42
2022-03-16;11:20:20;ON;114.22;42
2022-03-16;11:21:20;ON;114.22;42
2022-03-16;11:22:20;ON;114.22;42
2022-03-16;11:23:20;ON;114.22;42
2022-03-16;11:24:20;ON;114.22;42
2022-03-16;11:25:20;ON;114.22;42
2022-03-16;11:26:20;ON;114.22;42
2022-03-16;11:27:20;ON;114.22;42
2022-03-16;11:28:20;ON;114.22;42
2022-03-16;11:29:20;ON;114.22;42
2022-03-16;11:30:20;ON;114.22;42
2022-03-16;11:31:20;ON;114.22;42
2022-03-16;11:32:20;ON;114.22;42
2022-03-16;11:33:20;ON;114.22;42
2022-03-16;11:34:20;ON;114.22;42
2022-03-16;11:35:20;ON;114.22;42
2022-03-16;11:36:20;ON;114.22;42
2022-03-16;11:37:20;ON;114.22;42
2022-03-16;11:38:20;ON;114.22;42
2022-03-16;11:39:20;ON;114.22;42
2022-03-16;11:40:20;ON;114.22;42
2022-03-16;11:41:20;ON;114.22;42
2022-03-16;11:42:20;ON;114.22;42
2022-03-16;11:43:20;ON;114.22;42
2022-03-16;11:44:20;ON;114.22;42
2022-03-16;11:45:20;ON;114.22;42
2022-03-16;11:46:20;ON;114.22;42
2022-03-16;11:47:20;ON;114.22;42
2022-03-16;11:48:20;ON;114.22;42
2022-03-16;11:49:20;ON;114.22;42
2022-03-16;11:50:20;ON;114.22;42
2022-03-16;11:51:21;ON;114.22;42
2022-03-16;11:52:21;ON;114.22;42
2022-03-16;11:53:21;ON;114.22;42
2022-03-16;11:54:21;ON;114.22;42
2022-03-16;11:55:21;ON;114.22;42
2022-03-16;11:56:21;ON;114.22;42
2022-03-16;11:57:21;ON;114.22;42
2022-03-16;11:58:21;ON;114.22;42
2022-03-16;11:59:21;ON;114.22;42
2022-03-16;12:00:21;ON;114.22;42
2022-03-16;12:01:21;ON;114.22;42
2022-03-16;12:02:21;ON;114.22;42
2022-03-16;12:03:21;ON;114.22;42
2022-03-16;12:04:21;ON;114.22;42
2022-03-16;12:05:21;ON;114.22;42
2022-03-16;12:06:21;ON;114.22;42
2022-03-16;12:07:21;ON;114.22;42
2022-03-16;12:08:21;ON;114.22;42
2022-03-16;12:09:21;ON;114.22;42
2022-03-16;12:10:21;ON;114.22;42
2022-03-16;12:11:21;ON;114.22;42
2022-03-16;12:12:21;ON;114.22;42
2022-03-16;12:13:21;ON;114.22;42
2022-03-16;12:14:21;ON;114.22;42
2022-03-16;12:15:21;ON;114.22;42
2022-03-16;12:16:21;ON;114.22;42
2022-03-16;12:17:21;ON;114.22;42
2022-03-16;12:18:21;ON;114.22;42
2022-03-16;12:19:21;ON;114.22;42
2022-03-16;12:20:21;ON;114.22;42
